query_id,query,retrieved_doc_ids,gold_doc_ids,top_score,hit_at_k,failure_bucket
572a06af3f37b3190047866a,What pathway that plays a role in immune response to viruses is present in all eukaryotes?,"['doc_85ba5dc6cde1a3d4', 'doc_9362717a69b643de', 'doc_899b3515f9dd989c', 'doc_52e26364848910ee', 'doc_9af91620b3e78305', 'doc_0b4e49bb1b9fdaa4']",['doc_85ba5dc6cde1a3d4'],0.835457444190979,1,hit_top1
5726249538643c19005ad080,What was developed for the Air Force,"['doc_e7cdebfcb2951145', 'doc_ddd34bd0b5e77cb9', 'doc_0cd0cede0ae47160', 'doc_1e17407004c7b5b3', 'doc_88a241eb54feee53', 'doc_dc3da4553b9a2a2a']",['doc_e7cdebfcb2951145'],0.7268029451370239,1,hit_top1
57337ddc4776f41900660bbe,Why are the small lakes in the parks emptied before winter?,"['doc_aa58059dd82409e1', 'doc_17a5ef4b6fbd30dc', 'doc_11c1d4aa5b74338c', 'doc_52e26364848910ee', 'doc_dc3da4553b9a2a2a', 'doc_c439dd283c395213']",['doc_aa58059dd82409e1'],0.7997793555259705,1,hit_top1
57332e48d058e614000b5765,How many days did the Warsaw Uprising last?,"['doc_8c57113d254c4ded', 'doc_9fc8214adab6a7d8', 'doc_aa58059dd82409e1', 'doc_6f7d47ca4f5a472d', 'doc_52e26364848910ee']",['doc_8c57113d254c4ded'],0.84844109416008,1,hit_top1
56e16182e3433e1400422e29,By what main attribute are computational problems classified utilizing computational complexity theory?,"['doc_7d263b8285c070bb', 'doc_13a72cd5f6eb201c', 'doc_433f5d7dcb279d98', 'doc_ddd34bd0b5e77cb9', 'doc_899b3515f9dd989c', 'doc_cf43b0541a7facbe']",['doc_7d263b8285c070bb'],0.9037773013114929,1,hit_top1
57097051ed30961900e84134,What did BSkyB name their interactive service?,"['doc_4587358aabe10131', 'doc_bc29e60d357759a6', 'doc_a69b66b57895f651', 'doc_1e17407004c7b5b3', 'doc_e7cdebfcb2951145']",['doc_4587358aabe10131'],0.8277746438980103,1,hit_top1
571c3e8cdd7acb1400e4c0a6,What researcher showed that air is a necessity for combustion?,"['doc_0cd0cede0ae47160', 'doc_e7cdebfcb2951145', 'doc_030507e06afbebda', 'doc_2ba5ddd695ee3bb2', 'doc_13a72cd5f6eb201c', 'doc_ddd34bd0b5e77cb9']",['doc_0cd0cede0ae47160'],0.8660932779312134,1,hit_top1
5ad0421177cf76001a686f15,How much did southern California grow in the year 2000?,"['doc_da7616a2dc865441', 'doc_88a241eb54feee53', 'doc_bc29e60d357759a6', 'doc_a69b66b57895f651', 'doc_5587664b2f2878e1', 'doc_7e5c72fa9cb60455']",['doc_da7616a2dc865441'],0.875826895236969,1,hit_top1
57097b50200fba1400368050,What was the target percentage of households BSkyB wanted to reach?,"['doc_bc29e60d357759a6', 'doc_a69b66b57895f651', 'doc_4587358aabe10131', 'doc_1e17407004c7b5b3', 'doc_07c4857ade186a50']",['doc_bc29e60d357759a6'],0.8749136030673981,1,hit_top1
5ad3ed37604f3c001a3ff7a1,At what degree are the pistons of a two-cylinder compound connected to the pistons?,"['doc_f5523a36a816f38c', 'doc_9af91620b3e78305', 'doc_433f5d7dcb279d98', 'doc_0cd0cede0ae47160', 'doc_1e17407004c7b5b3']",['doc_f5523a36a816f38c'],0.8740077912807465,1,hit_top1
5a7b079b21c2de001afe9cf9,What show did Lupe Mayorga star in?,"['doc_7a35df61d48919ac', 'doc_7e5c72fa9cb60455', 'doc_1e17407004c7b5b3', 'doc_f0fdd976511382ac', 'doc_0cd0cede0ae47160', 'doc_dc3da4553b9a2a2a']",['doc_7a35df61d48919ac'],0.6500394642353058,1,hit_top1
572fe53104bcaa1900d76e6d,What will cause the lake near the Rhine to silt up?,"['doc_17a5ef4b6fbd30dc', 'doc_11c1d4aa5b74338c', 'doc_aa58059dd82409e1', 'doc_f0fdd976511382ac', 'doc_dc3da4553b9a2a2a', 'doc_0b4e49bb1b9fdaa4']",['doc_17a5ef4b6fbd30dc'],0.8695470988750458,1,hit_top1
5a893ce63b2508001a72a556,What type of number generators make use of military gear?,"['doc_ddd34bd0b5e77cb9', 'doc_433f5d7dcb279d98', 'doc_1e17407004c7b5b3', 'doc_e7cdebfcb2951145', 'doc_899b3515f9dd989c', 'doc_cf43b0541a7facbe']",['doc_ddd34bd0b5e77cb9'],0.8068352341651917,1,hit_top1
5ad24e50d7d075001a428c3c,Under which policy are labor unions discouraged?,"['doc_c6e279d37d952e74', 'doc_644e313242aaf85f', 'doc_a747b02a7b42c6a0', 'doc_3592df6f88615e8a']",['doc_c6e279d37d952e74'],0.7799725532531738,1,hit_top1
5725fb8138643c19005acf3f,Why does Fresno only have UHF television stations?,"['doc_10ec5a673978ee31', 'doc_1e17407004c7b5b3', 'doc_7a35df61d48919ac', 'doc_da7616a2dc865441', 'doc_327cfc3d86814aea', 'doc_a69b66b57895f651']",['doc_10ec5a673978ee31'],0.8566961586475372,1,hit_top1
5ad3b826604f3c001a3fee47,What troops defended Fort William Henry in early 1757?,"['doc_52e26364848910ee', 'doc_fa7e6270cd608802', 'doc_c439dd283c395213', 'doc_7e5c72fa9cb60455', 'doc_9fc8214adab6a7d8']",['doc_52e26364848910ee'],0.8272051215171814,1,hit_top1
57299ec43f37b3190047850e,What type of ideals generalize prime elements?,"['doc_cf43b0541a7facbe', 'doc_ddd34bd0b5e77cb9', 'doc_433f5d7dcb279d98', 'doc_899b3515f9dd989c', 'doc_13a72cd5f6eb201c', 'doc_85ba5dc6cde1a3d4']",['doc_cf43b0541a7facbe'],0.8858626186847687,1,hit_top1
5a1c8753b4fb5d0018714669,What other film city struggled as Jacksonville grew in popularity?,"['doc_327cfc3d86814aea', 'doc_35aa6138c2fa8513', 'doc_da7616a2dc865441', 'doc_6f7d47ca4f5a472d', 'doc_10ec5a673978ee31']",['doc_327cfc3d86814aea'],0.8357603549957275,1,hit_top1
5ad40219604f3c001a3ffd47,When was Mongke Khan born?,"['doc_4d36972f9fbdf247', 'doc_bf4d8887b95a4d6f', 'doc_4ff5c63d959831b5', 'doc_0b4e49bb1b9fdaa4', 'doc_52e26364848910ee']",['doc_4d36972f9fbdf247'],0.7933482527732849,1,hit_top1
5a0c96fbf5590b0018dab487,What makes it easier for the government to target tribal territories?,"['doc_dc3da4553b9a2a2a', 'doc_c439dd283c395213', 'doc_52e26364848910ee', 'doc_3592df6f88615e8a']",['doc_dc3da4553b9a2a2a'],0.7982480227947235,1,hit_top1
5ad4bcc45b96ef001a109e9f,When was Warsaw ranked as the 22nd most liveable city in the world?,"['doc_6f7d47ca4f5a472d', 'doc_aa58059dd82409e1', 'doc_8c57113d254c4ded', 'doc_9fc8214adab6a7d8', 'doc_a747b02a7b42c6a0']",['doc_6f7d47ca4f5a472d'],0.8317589163780212,1,hit_top1
572a005f1d046914007796bb,What happened to the rate of deforestation in the Amazon region of Brazil between 2004 and 2014?,"['doc_88a241eb54feee53', 'doc_2ba5ddd695ee3bb2', 'doc_dc3da4553b9a2a2a', 'doc_f0fdd976511382ac', 'doc_aa58059dd82409e1', 'doc_c439dd283c395213']",['doc_88a241eb54feee53'],0.8738173544406891,1,hit_top1
5ad3ba81604f3c001a3fee9d,How many troops were victorious for British in BAttle of Carillon?,"['doc_fa7e6270cd608802', 'doc_52e26364848910ee', 'doc_c439dd283c395213', 'doc_8c57113d254c4ded']",['doc_fa7e6270cd608802'],0.8364263772964478,1,hit_top1
572996c73f37b319004784b4,What is another type of public key cryptography algorithm?,"['doc_433f5d7dcb279d98', 'doc_ddd34bd0b5e77cb9', 'doc_13a72cd5f6eb201c', 'doc_1e17407004c7b5b3', 'doc_cf43b0541a7facbe', 'doc_7d263b8285c070bb']",['doc_433f5d7dcb279d98'],0.8241071701049805,1,hit_top1
5ad4a682ba00c4001a268eca,What does not depend on the immune system's ability to distinguish between the self and others?,"['doc_899b3515f9dd989c', 'doc_9362717a69b643de', 'doc_85ba5dc6cde1a3d4', 'doc_13a72cd5f6eb201c', 'doc_7d263b8285c070bb', 'doc_ddd34bd0b5e77cb9']",['doc_899b3515f9dd989c'],0.8538448810577393,1,hit_top1
5ad5344b5b96ef001a10ab89,What is the process that asks a more specific question about all possible algorithms that could not be used to solve the same problem?,"['doc_13a72cd5f6eb201c', 'doc_7d263b8285c070bb', 'doc_433f5d7dcb279d98', 'doc_ddd34bd0b5e77cb9', 'doc_899b3515f9dd989c', 'doc_c6e279d37d952e74']",['doc_13a72cd5f6eb201c'],0.8026198744773865,1,hit_top1
5a2ecb43a83784001a7d248e,In what month in 1349 did the second wave of the plague reach England?,"['doc_0b4e49bb1b9fdaa4', 'doc_4d36972f9fbdf247', 'doc_b3ade95fc9b529b7', 'doc_52e26364848910ee', 'doc_8c57113d254c4ded']",['doc_0b4e49bb1b9fdaa4'],0.7851532399654388,1,hit_top1
