query_id,query,top_score,num_hits,gold_doc_ids,retrieved_doc_ids,failure_bucket
572a06af3f37b3190047866a,What pathway that plays a role in immune response to viruses is present in all eukaryotes?,0.835457444190979,6,['doc_85ba5dc6cde1a3d4'],"['doc_85ba5dc6cde1a3d4', 'doc_9362717a69b643de', 'doc_899b3515f9dd989c', 'doc_52e26364848910ee', 'doc_9af91620b3e78305', 'doc_0b4e49bb1b9fdaa4']",hit_top1
5726249538643c19005ad080,What was developed for the Air Force,0.7268029451370239,6,['doc_e7cdebfcb2951145'],"['doc_e7cdebfcb2951145', 'doc_ddd34bd0b5e77cb9', 'doc_0cd0cede0ae47160', 'doc_1e17407004c7b5b3', 'doc_88a241eb54feee53', 'doc_dc3da4553b9a2a2a']",hit_top1
57337ddc4776f41900660bbe,Why are the small lakes in the parks emptied before winter?,0.7997793555259705,6,['doc_aa58059dd82409e1'],"['doc_aa58059dd82409e1', 'doc_17a5ef4b6fbd30dc', 'doc_11c1d4aa5b74338c', 'doc_52e26364848910ee', 'doc_dc3da4553b9a2a2a', 'doc_c439dd283c395213']",hit_top1
57332e48d058e614000b5765,How many days did the Warsaw Uprising last?,0.84844109416008,5,['doc_8c57113d254c4ded'],"['doc_8c57113d254c4ded', 'doc_9fc8214adab6a7d8', 'doc_aa58059dd82409e1', 'doc_6f7d47ca4f5a472d', 'doc_52e26364848910ee']",hit_top1
56e16182e3433e1400422e29,By what main attribute are computational problems classified utilizing computational complexity theory?,0.9037773013114929,6,['doc_7d263b8285c070bb'],"['doc_7d263b8285c070bb', 'doc_13a72cd5f6eb201c', 'doc_433f5d7dcb279d98', 'doc_ddd34bd0b5e77cb9', 'doc_899b3515f9dd989c', 'doc_cf43b0541a7facbe']",hit_top1
57097051ed30961900e84134,What did BSkyB name their interactive service?,0.8277746438980103,5,['doc_4587358aabe10131'],"['doc_4587358aabe10131', 'doc_bc29e60d357759a6', 'doc_a69b66b57895f651', 'doc_1e17407004c7b5b3', 'doc_e7cdebfcb2951145']",hit_top1
571c3e8cdd7acb1400e4c0a6,What researcher showed that air is a necessity for combustion?,0.8660932779312134,6,['doc_0cd0cede0ae47160'],"['doc_0cd0cede0ae47160', 'doc_e7cdebfcb2951145', 'doc_030507e06afbebda', 'doc_2ba5ddd695ee3bb2', 'doc_13a72cd5f6eb201c', 'doc_ddd34bd0b5e77cb9']",hit_top1
5ad0421177cf76001a686f15,How much did southern California grow in the year 2000?,0.875826895236969,6,['doc_da7616a2dc865441'],"['doc_da7616a2dc865441', 'doc_88a241eb54feee53', 'doc_bc29e60d357759a6', 'doc_a69b66b57895f651', 'doc_5587664b2f2878e1', 'doc_7e5c72fa9cb60455']",hit_top1
57097b50200fba1400368050,What was the target percentage of households BSkyB wanted to reach?,0.8749136030673981,5,['doc_bc29e60d357759a6'],"['doc_bc29e60d357759a6', 'doc_a69b66b57895f651', 'doc_4587358aabe10131', 'doc_1e17407004c7b5b3', 'doc_07c4857ade186a50']",hit_top1
5ad3ed37604f3c001a3ff7a1,At what degree are the pistons of a two-cylinder compound connected to the pistons?,0.8740077912807465,5,['doc_f5523a36a816f38c'],"['doc_f5523a36a816f38c', 'doc_9af91620b3e78305', 'doc_433f5d7dcb279d98', 'doc_0cd0cede0ae47160', 'doc_1e17407004c7b5b3']",hit_top1
5a7b079b21c2de001afe9cf9,What show did Lupe Mayorga star in?,0.6500394642353058,6,['doc_7a35df61d48919ac'],"['doc_7a35df61d48919ac', 'doc_7e5c72fa9cb60455', 'doc_1e17407004c7b5b3', 'doc_f0fdd976511382ac', 'doc_0cd0cede0ae47160', 'doc_dc3da4553b9a2a2a']",hit_top1
572fe53104bcaa1900d76e6d,What will cause the lake near the Rhine to silt up?,0.8695470988750458,6,['doc_17a5ef4b6fbd30dc'],"['doc_17a5ef4b6fbd30dc', 'doc_11c1d4aa5b74338c', 'doc_aa58059dd82409e1', 'doc_f0fdd976511382ac', 'doc_dc3da4553b9a2a2a', 'doc_0b4e49bb1b9fdaa4']",hit_top1
5a893ce63b2508001a72a556,What type of number generators make use of military gear?,0.8068352341651917,6,['doc_ddd34bd0b5e77cb9'],"['doc_ddd34bd0b5e77cb9', 'doc_433f5d7dcb279d98', 'doc_1e17407004c7b5b3', 'doc_e7cdebfcb2951145', 'doc_899b3515f9dd989c', 'doc_cf43b0541a7facbe']",hit_top1
5ad24e50d7d075001a428c3c,Under which policy are labor unions discouraged?,0.7799725532531738,4,['doc_c6e279d37d952e74'],"['doc_c6e279d37d952e74', 'doc_644e313242aaf85f', 'doc_a747b02a7b42c6a0', 'doc_3592df6f88615e8a']",hit_top1
5725fb8138643c19005acf3f,Why does Fresno only have UHF television stations?,0.8566961586475372,6,['doc_10ec5a673978ee31'],"['doc_10ec5a673978ee31', 'doc_1e17407004c7b5b3', 'doc_7a35df61d48919ac', 'doc_da7616a2dc865441', 'doc_327cfc3d86814aea', 'doc_a69b66b57895f651']",hit_top1
5ad3b826604f3c001a3fee47,What troops defended Fort William Henry in early 1757?,0.8272051215171814,5,['doc_52e26364848910ee'],"['doc_52e26364848910ee', 'doc_fa7e6270cd608802', 'doc_c439dd283c395213', 'doc_7e5c72fa9cb60455', 'doc_9fc8214adab6a7d8']",hit_top1
